Issues,X-axis scores,Y-axis scores,Timescale,Stakeholder,Language
Clients� energy efficiency improvements,11.6,10.87,Short term,All stakeholders,All languages
Rising energy costs,9.2,8.27,Short term,All stakeholders,All languages
Rising demand for electric vehicles,6.3,7.56,Short term,All stakeholders,All languages
Increasing urbanisation and quality of life in cities,3.5,5.86,Short term,All stakeholders,All languages
"Smarter, more sustainable buildings",10.1,9.46,Short term,All stakeholders,All languages
Skill shortages across workforce,12.2,9.89,Short term,All stakeholders,All languages
Continued support for energy transition,11.6,10.12,Short term,All stakeholders,All languages
Electric grid upgrades,11.3,8.76,Short term,All stakeholders,All languages
Effects of carbon pricing,4.6,6.63,Short term,All stakeholders,All languages
Climate resilience for infrastructure,7.4,8.12,Short term,All stakeholders,All languages
Increased cybersecurity risk from digital growth,8.7,7.24,Short term,All stakeholders,All languages
Reducing emissions across SPIE value chain,7.9,9.16,Short term,All stakeholders,All languages
Politicisation of energy and raw materials,3.6,5.68,Short term,All stakeholders,All languages
Availability and cost of raw materials,4.6,6.07,Short term,All stakeholders,All languages
Expansion of communications networks,7.4,6.31,Short term,All stakeholders,All languages
Clients� energy efficiency improvements,11.67,10.78,Medium term,All stakeholders,All languages
Rising energy costs,9.56,7.64,Medium term,All stakeholders,All languages
Rising demand for electric vehicles,5.33,7.35,Medium term,All stakeholders,All languages
Increasing urbanisation and quality of life in cities,3.89,6.41,Medium term,All stakeholders,All languages
"Smarter, more sustainable buildings",9.22,10.12,Medium term,All stakeholders,All languages
Skill shortages across workforce,11,9.22,Medium term,All stakeholders,All languages
Continued support for energy transition,10.89,10.34,Medium term,All stakeholders,All languages
Electric grid upgrades,11.56,9.76,Medium term,All stakeholders,All languages
Effects of carbon pricing,7.89,6.17,Medium term,All stakeholders,All languages
Climate resilience for infrastructure,7.56,7.82,Medium term,All stakeholders,All languages
Increased cybersecurity risk from digital growth,10.44,7.63,Medium term,All stakeholders,All languages
Reducing emissions across SPIE value chain,6,9.81,Medium term,All stakeholders,All languages
Politicisation of energy and raw materials,4.44,5.08,Medium term,All stakeholders,All languages
Availability and cost of raw materials,4.33,5.6,Medium term,All stakeholders,All languages
Expansion of communications networks,6.22,6.3,Medium term,All stakeholders,All languages
Clients� energy efficiency improvements,9.67,10.28,Long term,All stakeholders,All languages
Rising energy costs,9.56,7.13,Long term,All stakeholders,All languages
Rising demand for electric vehicles,4.33,7.25,Long term,All stakeholders,All languages
Increasing urbanisation and quality of life in cities,6.22,6.55,Long term,All stakeholders,All languages
"Smarter, more sustainable buildings",8.11,9.96,Long term,All stakeholders,All languages
Skill shortages across workforce,11.78,8.92,Long term,All stakeholders,All languages
Continued support for energy transition,9.33,10.17,Long term,All stakeholders,All languages
Electric grid upgrades,10.67,9.66,Long term,All stakeholders,All languages
Effects of carbon pricing,9.78,6.66,Long term,All stakeholders,All languages
Climate resilience for infrastructure,8.56,8.22,Long term,All stakeholders,All languages
Increased cybersecurity risk from digital growth,10.56,8.16,Long term,All stakeholders,All languages
Reducing emissions across SPIE value chain,6.89,9.79,Long term,All stakeholders,All languages
